コンテンツID※空欄で構いません。特定の値を設定したい場合に入力してください。,title,description,content,category,thumbnail
,管理画面向けダッシュボードUI,数値や進捗を確認しやすくするための管理画面UIデザインです。,管理画面では、必要な情報を素早く把握できることが重要です。このサンプルでは、KPIカード、一覧テーブル、ステータス表示、検索フィルターを整理し、日々の確認作業がしやすい画面を想定しました。業務アプリとして長時間使っても疲れにくいよう、余白とコントラストを調整しています。,ui-design,
,勤怠管理アプリの画面設計,打刻、勤務状況、承認フローを想定した勤怠管理アプリのUI制作例です。,勤怠管理アプリとして、出勤・退勤の打刻、休憩、申請、承認、集計画面を想定した画面設計を行いました。従業員側はスマートフォンで迷わず操作できること、管理者側は状況を一覧で確認できることを重視しています。実務で使うことを前提に、誤操作を減らす導線を意識しました。,web-app,
,予約管理システムのプロトタイプ,予約状況の確認と登録を行うWebアプリのプロトタイプ制作例です。,予約管理システムのプロトタイプとして、カレンダー表示、予約一覧、顧客情報、ステータス変更の画面を設計しました。小規模店舗でも使いやすいよう、複雑な機能を増やしすぎず、日常業務で必要な操作を中心にまとめています。将来的に通知機能や顧客管理機能を追加できる構成も想定しています。,web-app,
,教育サービスサイトの制作,講座内容と申し込み導線を整理した教育サービス向けサイトの制作例です。,教育サービスのサイトでは、講座の特徴、対象者、カリキュラム、料金、受講の流れを分かりやすく伝えることが重要です。この事例では、初めて見た人でもサービス内容を理解しやすいよう、段階的な情報設計にしました。安心感を高めるため、よくある質問やサポート内容も配置しています。,service,
,不動産向け物件紹介ページ,物件の魅力と問い合わせ導線を分かりやすくまとめたページ制作例です。,不動産向けの物件紹介ページとして、写真、間取り、所在地、周辺情報、設備、問い合わせ導線を整理しました。情報量が多くても見やすいよう、セクションを分けて構成しています。スマートフォンで閲覧するユーザーにも配慮し、写真と重要情報を上部に配置しました。,corporate,
,NPO団体サイトのリニューアル,活動内容と支援方法を分かりやすく伝えるNPO向けサイトの制作例です。,NPOや団体サイトでは、活動内容、理念、実績、参加方法、寄付や問い合わせの導線を明確にすることが大切です。この事例では、活動の背景が伝わる文章と、支援につながる導線を整理しました。信頼感を持ってもらえるよう、実績やお知らせを更新しやすい構成にしています。,corporate,
,写真スタジオのWebサイト制作,作品ギャラリーと予約導線を中心に構成した写真スタジオ向けサイトです。,写真スタジオのサイトとして、ギャラリー、撮影プラン、料金、撮影の流れ、予約フォームを整理しました。ビジュアルを大きく見せながら、必要な情報が埋もれないように構成しています。余白を広めに取り、写真の魅力が伝わる落ち着いたデザインを想定しています。,portfolio,
,建設会社のコーポレートサイト,施工実績と会社の強みを伝える建設会社向けサイトの制作例です。,建設会社向けサイトとして、施工実績、対応分野、安全への取り組み、会社概要、採用情報を整理しました。堅実さと信頼感が伝わるよう、落ち着いた配色と直線的なレイアウトを採用しています。実績記事をCMSで追加できる構成にし、更新しやすいサイトを想定しています。,corporate,
,製造業向け製品紹介サイト,技術力と製品情報を分かりやすく伝える製造業向けサイトの制作例です。,製造業のサイトでは、製品の特徴、対応できる加工、導入事例、設備情報を整理することが重要です。この事例では、専門的な情報を読みやすく分解し、問い合わせにつながる構成にしました。製品カテゴリごとの一覧と詳細ページを想定し、CMSで管理しやすい形にしています。,corporate,
,カフェのブランドサイト制作,店舗の世界観とメニュー情報を伝えるカフェ向けサイトの制作例です。,カフェのブランドサイトとして、店舗コンセプト、メニュー、アクセス、営業時間、写真ギャラリーをまとめました。世界観を伝えるため、余白と写真の見せ方を重視しています。SNSへの導線も配置し、日々の情報発信と連携しやすいサイト構成を想定しています。,ec,
,オンライン講座LP制作,講座の価値と申し込みまでの流れを整理したランディングページです。,オンライン講座のLPとして、受講後に得られること、講座内容、対象者、講師プロフィール、料金、申し込みの流れを構成しました。購入前の不安を減らすため、よくある質問や受講者の声も配置しています。スマートフォンから申し込みやすいよう、CTAを分かりやすく配置しました。,landing-page,
,FAQページのUI改善,よくある質問を探しやすくするためのFAQページ改善例です。,FAQページでは、質問数が増えるほど探しにくくなるため、カテゴリ分けと見出し設計が重要です。この事例では、質問を内容ごとに整理し、アコーディオンUIを想定した見やすい構成にしました。問い合わせ前に自己解決できる情報を増やすことで、ユーザーと運営側の負担を減らす設計です。,ui-design,
,会員制サイトの画面設計,ログイン後の会員ページを想定したWebアプリUIの制作例です。,会員制サイトの画面設計として、ログイン、マイページ、登録情報、利用履歴、お知らせ表示を想定しました。ユーザーが自分に必要な情報へすぐアクセスできるよう、ナビゲーションとカードUIを整理しています。将来的な機能追加に対応しやすい構成を意識しました。,web-app,
,資料請求LPの制作,資料請求を目的にしたBtoB向けランディングページの制作例です。,BtoB向け資料請求LPとして、課題の提示、解決策、サービスの特徴、導入メリット、フォームへの導線を構成しました。営業色が強くなりすぎないよう、具体的なメリットと信頼材料をバランスよく配置しています。フォーム項目は最小限にし、問い合わせのハードルを下げる設計です。,landing-page,
,ホテル・宿泊施設サイトの制作,宿泊施設の魅力と予約導線を整理したWebサイト制作例です。,宿泊施設サイトとして、客室、設備、食事、周辺情報、アクセス、予約導線を整理しました。写真を大きく使いながら、ユーザーが予約前に知りたい情報を迷わず確認できる構成にしています。季節ごとのお知らせやプランをCMSで更新できる設計も想定しています。,service,
,Web制作サービスページのリニューアル,自社サービスの内容と制作の流れを分かりやすく伝えるページ改善例です。,Web制作サービスページとして、対応範囲、制作の流れ、料金の目安、よくある質問、問い合わせ導線を整理しました。初めて依頼する人にも分かるよう、専門用語を避けて説明する構成にしています。実績紹介へ自然につながる導線も配置し、信頼感を高める設計です。,service,
,スモールビジネス向け名刺サイト,個人事業主や小規模店舗向けに情報を簡潔にまとめたサイト制作例です。,名刺代わりのWebサイトとして、プロフィール、サービス内容、料金、実績、問い合わせ先をコンパクトにまとめました。ページ数を増やしすぎず、必要な情報だけを見やすく整理することを重視しています。公開後の更新負担を抑えながら、信頼性を高めるためのサイト構成です。,portfolio,
,多言語対応サイトの構成設計,日本語と英語の切り替えを想定した多言語サイトの設計例です。,多言語サイトでは、単に翻訳を用意するだけでなく、言語ごとの導線や表示崩れへの配慮が必要です。この事例では、日本語ページと英語ページの情報構造を揃え、ユーザーが迷わず切り替えられる構成を想定しました。CMSで言語別コンテンツを管理しやすい設計も意識しています。,corporate,
,アクセシビリティを意識したUI改善,文字サイズ、コントラスト、操作しやすさを見直したUI改善の制作例です。,アクセシビリティを意識し、文字サイズ、色のコントラスト、ボタンの押しやすさ、リンクの見分けやすさを改善した事例です。見た目の印象だけでなく、誰にとっても使いやすいサイトにすることを目的にしています。フォームやナビゲーションも含め、基本的な操作が分かりやすくなるよう調整しました。,ui-design,
